TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,7,28,19,12,10XX ALBERNI ST,West End,491015.9434,5459166.14
Break and Enter Commercial,2020,6,19,3,40,10XX ALBERNI ST,West End,491059.4824,5459122.418
Break and Enter Commercial,2020,1,3,6,43,10XX ALBERNI ST,West End,491068.6829,5459126.137
Break and Enter Commercial,2020,9,27,20,0,10XX ALBERNI ST,West End,491073.0884,5459108.755
Break and Enter Commercial,2020,6,28,6,50,10XX ALBERNI ST,West End,491102.2439,5459092.435
Break and Enter Commercial,2020,2,5,0,0,10XX BEACH AVE,West End,490227.2225,5458210.379
Break and Enter Commercial,2020,2,11,13,35,10XX BEACH AVE,West End,490227.2225,5458210.379
Break and Enter Commercial,2020,4,16,17,0,10XX BEACH AVE,Central Business District,490249.3649,5458166.658
Break and Enter Commercial,2020,4,1,3,25,10XX BEACH AVE,Central Business District,490252.3815,5458162.723
Break and Enter Commercial,2020,9,19,21,24,10XX BEACH AVE,Central Business District,490269.91,5458141.126
Break and Enter Commercial,2020,10,20,20,0,10XX BROUGHTON ST,West End,490247.4903,5459171.385
Break and Enter Commercial,2020,8,3,21,30,10XX BROUGHTON ST,West End,490269.4243,5459193.628
Break and Enter Commercial,2020,2,12,22,14,10XX BURNABY ST,West End,490423.396,5458517.254
Break and Enter Commercial,2020,10,11,22,5,10XX BURNABY ST,West End,490500.2381,5458425.917
Break and Enter Commercial,2020,4,22,12,20,10XX BUTE ST,West End,490409.1263,5458906.32
Break and Enter Commercial,2021,2,14,7,35,10XX BUTE ST,West End,490409.1263,5458906.32
Break and Enter Commercial,2020,2,26,7,0,10XX BUTE ST,West End,490422.681,5458907.077
Break and Enter Commercial,2020,1,16,1,32,10XX CAMBIE ST,Central Business District,491337.7412,5458045.594
Break and Enter Commercial,2020,10,12,4,43,10XX CAMBIE ST,Central Business District,491407.3592,5458130.609
Break and Enter Commercial,2020,5,31,6,20,10XX CANADA PL,Central Business District,491492.0426,5459540.39
Break and Enter Commercial,2020,1,12,5,20,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,1,22,14,45,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,2,20,6,35,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,2,21,3,7,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,4,8,18,55,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,5,11,4,58,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,7,20,11,10,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,9,1,3,24,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,9,20,18,45,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,12,7,18,48,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,12,7,20,33,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,12,9,21,46,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,12,10,8,10,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2020,10,16,15,25,10XX CHILCO ST,West End,489628.1886,5459759.585
Break and Enter Commercial,2020,1,3,4,27,10XX CHILCO ST,West End,489667.3093,5459812.622
Break and Enter Commercial,2020,11,20,17,0,10XX CLARK DR,Strathcona,494373.5247,5458106.774
Break and Enter Commercial,2020,11,22,6,55,10XX CLARK DR,Strathcona,494373.5247,5458106.774
Break and Enter Commercial,2020,4,9,5,5,10XX COMMERCIAL DR,Grandview-Woodland,494937.4981,5458087.034
Break and Enter Commercial,2020,4,5,22,0,10XX COMMERCIAL DR,Grandview-Woodland,494946.4726,5458070.444
Break and Enter Commercial,2020,6,6,7,0,10XX COMMERCIAL DR,Grandview-Woodland,494946.4726,5458070.444
Break and Enter Commercial,2020,11,21,3,18,10XX COMMERCIAL DR,Grandview-Woodland,494946.6792,5458090.607
Break and Enter Commercial,2020,9,6,21,21,10XX DAVIE ST,West End,490506.8709,5458577.83
Break and Enter Commercial,2020,4,3,5,24,10XX DAVIE ST,West End,490531.2532,5458553.787
Break and Enter Commercial,2020,4,7,5,40,10XX DAVIE ST,West End,490531.2532,5458553.787
Break and Enter Commercial,2020,8,21,9,8,10XX DAVIE ST,West End,490536.6714,5458548.445
Break and Enter Commercial,2020,7,14,4,55,10XX DAVIE ST,West End,490551.2192,5458546.941
Break and Enter Commercial,2020,1,7,3,4,10XX DAVIE ST,West End,490558.3446,5458527.073
Break and Enter Commercial,2020,11,23,16,0,10XX DAVIE ST,West End,490558.3446,5458527.073
Break and Enter Commercial,2020,5,6,3,59,10XX DAVIE ST,West End,490563.7629,5458521.731
Break and Enter Commercial,2020,8,21,10,35,10XX DENMAN ST,West End,489808.9988,5459517.073
Break and Enter Commercial,2020,8,21,0,0,10XX DENMAN ST,West End,489824.5609,5459532.848
Break and Enter Commercial,2021,2,15,10,16,10XX DENMAN ST,West End,489834.1784,5459555.618
Break and Enter Commercial,2020,5,6,7,55,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.693
Break and Enter Commercial,2020,4,20,3,5,10XX E 7TH AVE,Mount Pleasant,493959.1755,5456834.166
Break and Enter Commercial,2020,8,9,23,45,10XX E 8TH AVE,Mount Pleasant,493994.2273,5456741.936
Break and Enter Commercial,2020,12,7,16,47,10XX E BROADWAY AV,Mount Pleasant,493995.7901,5456628.75
Break and Enter Commercial,2020,12,2,0,0,10XX E BROADWAY AV,Mount Pleasant,494014.7914,5456637.631
Break and Enter Commercial,2020,10,22,21,0,10XX E BROADWAY AVE,Mount Pleasant,493962.8722,5456638.353
Break and Enter Commercial,2020,5,27,23,59,10XX E BROADWAY AVE,Mount Pleasant,493991.2692,5456637.958
Break and Enter Commercial,2020,1,25,18,0,10XX E BROADWAY AVE,Mount Pleasant,493996.3052,5456628.743
Break and Enter Commercial,2021,2,4,0,0,10XX E BROADWAY AVE,Mount Pleasant,494014.5032,5456637.635
Break and Enter Commercial,2020,9,15,6,1,10XX GILFORD ST,West End,489771.9792,5459720.28
Break and Enter Commercial,2020,3,28,23,0,10XX GRANVILLE ST,Central Business District,490951.8793,5458412.199
